,male,female
hiv/aids,9252,7495
covid-19,691896,417052
takotsubo cardiomyopathy,131,115
tuberculoses,40129,19960
endocarditis,192,535
syphilis,2964,1936
multiple myeloma,2885521832,2167270999
hypertension,19607,22163
sarcoidoses,15,6
hepatitis b,1585,1288
ulcerative colitis,261,734
crohn’s disease,167,188
chagas disease,165,32
3545003.0,159,93
3716002.0,49,48
3723001.0,3791,3991
4308002.0,0,0
6142004.0,78687,27854
6471006.0,75371,54570
7973008.0,101,37
8357008.0,1,1
menstruation,1191,3300
9829001.0,0,0
10743008.0,19076,27759
11381005.0,894,1086
11654001.0,0,0
13746004.0,3888,3982
34486009.0,82,54
40930008.0,725,486
14669001.0,246,249
15188001.0,1359,2703
18193002.0,10,10
18718003.0,185,135
21134002.0,60540,96467
396275006.0,3997,2766
22298006.0,31628,58609
23502006.0,348,375
23919004.0,0,0
24693007.0,372,335
24700007.0,48041,406605
25458004.0,11,2
26889001.0,1,1
26929004.0,36418,29010
29384001.0,585,403
30811009.0,0,0
31384009.0,25,26
32398004.0,2266,2004
32798002.0,7600,9706
32914008.0,75,45
34840004.0,261,146
35489007.0,185563,155431
36971009.0,20,14
37340000.0,55,66
39400004.0,46,17
39621005.0,227,201
40733004.0,799414,259402
91302008,12998,13487
161712005.0,10275,13539
43116000.0,652,679
44054006.0,5410,4556
46635009.0,252,345
49049000.0,20424,20588
49601007.0,36790,28173
50829006.0,26530,22990
52448006.0,71460,63676
52702003.0,41,57
53741008.0,3811,2176
54150009.0,145,160
56317004.0,118,176
56925008.0,645,581
57182000.0,177,188
57406009.0,52,45
59927004.0,1886,1975
60862001.0,7077,13908
61462000.0,23156,26487
61599003.0,4,2
62315008.0,3800,4223
63102001.0,7850,7390
67362008.0,0,0
68566005.0,1508,1094
69322001.0,1696,1282
69896004.0,41410,34971
73211009.0,104751,100713
73442001.0,0,0
74732009.0,70418,118614
75694006.0,174,122
76376003.0,0,46
86044005.0,31639,2890
709044004.0,2833,2885
129103003.0,244,1071
195967001.0,9925,14375
200936003.0,18423,10786
233604007.0,27474,18761
698247007.0,21094,21420
