,white/caucasian,black/african american,hispanic/latino,asian,native american/indigenous,pacific islander
lupus,62364,112980,409,175,155,186
hiv/aids,51036,109477,5629,2297,679,221
prostate cancer,8329,9531,289,79,17,2
covid-19,275017,458998,31290,49894,5851,3221
takotsubo cardiomyopathy,2,3,2,0,0,0
multiple sclerosis,6015,4941,57,51,26,3
colon cancer,4770,8429,1149,117,95,46
tuberculoses,697175,1399318,22284,10817,3210,955
bacterial pneumonia,11265,26749,648,389,91,116
endocarditis,108,81,2,40,0,0
syphilis,350,1595,14,22,15,0
type 2 diabetes,10672,32097,467,698,89,48
multiple myeloma,150,186,6,2,2,0
essential hypertension,9443,13774,1571,1835,113,76
sarcoidoses,521,379,35,1,0,0
rheumatoid arthritis,644,1426,76,85,16,0
hepatitis b,892,3026,55,39,8,4
ulcerative colitis,297,331,12,8,10,0
crohn’s disease,94,169,0,0,0,0
gastric cancer,529,3689,54,27,20,5
chagas disease,35,143,74,1,37,0
ovarian cancer,666,2076,48,44,15,0
3545003.0,11,128,0,0,0,0
3716002.0,9,58,0,0,1,0
3723001.0,1456,2778,203,124,35,4
4308002.0,0,0,0,0,0,0
6142004.0,16257,32807,881,1059,170,44
6471006.0,0,0,0,0,0,0
7973008.0,28,40,0,0,0,0
8357008.0,0,0,0,0,0,0
9126005.0,32,28,1,0,0,0
9829001.0,0,0,0,0,0,0
10743008.0,8943,29660,350,425,98,19
11072008.0,0,1,0,0,0,0
11381005.0,0,0,0,0,0,0
11654001.0,0,0,0,0,0,0
13746004.0,858,1524,97,93,8,3
13791008.0,722,2468,62,16,15,3
14304000.0,124,178,57,33,0,0
14669001.0,42,76,3,4,0,0
15188001.0,452,829,12,9,6,0
18193002.0,0,0,0,0,0,0
18718003.0,0,0,0,0,0,0
21134002.0,22154,38020,3610,6705,1444,401
22193007.0,0,0,0,0,0,0
22298006.0,3351,4853,407,581,53,25
23502006.0,802,518,37,10,36,0
23919004.0,0,0,0,0,0,0
24693007.0,131,190,5,38,0,0
24700007.0,6015,4941,57,51,26,3
25458004.0,0,0,0,0,0,0
26544005.0,0,0,0,0,0,0
26889001.0,2,2,3,1,1,1
26929004.0,21810,24739,172,227,21,11
29384001.0,0,0,0,0,0,0
30811009.0,0,0,0,0,0,0
30989003.0,0,0,0,0,0,0
31384009.0,0,1,0,0,0,0
32398004.0,472,8603,56,46,0,0
32798002.0,44,103,4,0,0,0
32914008.0,9,57,0,0,0,0
33308003.0,24,23,0,0,0,0
34840004.0,18,149,4,0,0,0
35489007.0,0,0,0,0,0,0
36971009.0,5,1,0,0,0,0
37340000.0,3089,6427,28,0,1,0
38936003.0,2,33,0,0,0,0
39400004.0,27,36,0,1,0,0
39621005.0,0,8,0,0,0,0
40095003.0,587,1150,42,70,60,8
40733004.0,158785,425356,10603,5883,2824,465
40930008.0,594,658,57,272,4,1
