,0
lupus,33496
hiv/aids,37011
prostate cancer,4365
covid-19,142591
takotsubo cardiomyopathy,21
multiple sclerosis,1255
colon cancer,3815
tuberculoses,400943
bacterial pneumonia,11279
endocarditis,55
syphilis,367
type 2 diabetes,7914
multiple myeloma,266
essential hypertension,6273
sarcoidoses,137
rheumatoid arthritis,544
hepatitis b,952
ulcerative colitis,258
crohn’s disease,76
gastric cancer,706
chagas disease,104
ovarian cancer,1298
3545003.0,24
3716002.0,21
3723001.0,1043
4308002.0,0
6142004.0,9193
6471006.0,0
7973008.0,45
8357008.0,0
9126005.0,12
9829001.0,0
10743008.0,8327
11072008.0,1
11381005.0,0
11654001.0,0
13746004.0,896
13791008.0,484
14304000.0,83
14669001.0,39
15188001.0,392
18193002.0,0
18718003.0,0
21134002.0,5715
22193007.0,0
22298006.0,2387
23502006.0,207
23919004.0,1
24693007.0,102
24700007.0,1255
25458004.0,3
26544005.0,0
26889001.0,1
26929004.0,7357
29384001.0,1
30811009.0,0
30989003.0,0
31384009.0,5
32398004.0,465
32798002.0,31
32914008.0,22
33308003.0,25
34840004.0,27
35489007.0,0
36971009.0,8
37340000.0,2428
38936003.0,21
39400004.0,45
39621005.0,9
40095003.0,266
40733004.0,131764
40930008.0,164
41982003.0,0
42345000.0,9
42399005.0,613
43116000.0,168
43364001.0,0
44054006.0,1163
44695005.0,627
45352006.0,0
46635009.0,525
47004009.0,32
48661000.0,65
49049000.0,7181
49601007.0,1583
50829006.0,17664
52448006.0,6148
52702003.0,32
53741008.0,735
54150009.0,21
55300003.0,7
56265001.0,4550
56317004.0,71
56925008.0,17
57182000.0,47
57406009.0,25
57676002.0,2
59927004.0,54
60032008.0,5
60862001.0,492
61462000.0,6216
61599003.0,6
62315008.0,4
63102001.0,3684
64226004.0,390
64766004.0,258
66383009.0,1
67362008.0,0
68172002.0,61
68449006.0,0
68566005.0,0
68962001.0,0
69322001.0,261
69896004.0,494
70076002.0,117
73211009.0,18262
73442001.0,0
74732009.0,782
75694006.0,94
76376003.0,4
77547008.0,0
80690008.0,502
80967001.0,44
81308009.0,10
81498004.0,0
82639001.0,0
82991003.0,0
83901003.0,0
84017003.0,9
85828009.0,1
86044005.0,33285
87486003.0,606
88092000.0,28
90708001.0,10
95891005.0,0
102480002.0,0
118940003.0,0
128601007.0,0
128609009.0,39
129103003.0,150
129565002.0,133
131148009.0,24
134407002.0,0
161156004.0,285
161891005.0,28
162076009.0,183
162315007.0,0
186748004.0,0
191736004.0,0
193000002.0,132
193093009.0,59
193462001.0,573
193570009.0,1533
195967001.0,2683
200936003.0,9730
202852009.0,0
202882003.0,9
213257006.0,0
214264003.0,0
233604007.0,11272
235856003.0,485
236620008.0,1
237602007.0,169
238539001.0,0
239873007.0,0
239965002.0,0
240131006.0,1
247592009.0,1
250084002.0,0
267045008.0,4
267953003.0,0
271587009.0,0
271596009.0,81
271767006.0,0
271832001.0,0
278040002.0,79
280816001.0,79
281794004.0,0
302226006.0,44
307496006.0,45
308925008.0,2
314983004.0,0
315642008.0,0
363058009.0,0
363346000.0,105365
363406005.0,0
367391008.0,1
370143000.0,198
371081002.0,0
371405004.0,51
371632003.0,53299
386033004.0,326
386806002.0,266
386807006.0,1138
396275006.0,931
397540003.0,55
397803000.0,0
397825006.0,0
399068003.0,4273
399122003.0,4
399269003.0,44
402234004.0,0
409622000.0,0
423849004.0,0
425772008.0,0
428061005.0,337
428281000.0,39
429040005.0,497
429340002.0,8
429360005.0,0
440630006.0,0
443694000.0,0
443892003.0,29
444312002.0,0
448589005.0,0
609599003.0,0
609600000.0,0
698247007.0,4223
