,male,female
syphilis,20,3
covid-19,1572,617
40733004.0,2789,809
colon cancer,203,61
363346000.0,2647,2696
50829006.0,19,19
371632003.0,236,261
52448006.0,116,112
tuberculoses,1456,1685
21134002.0,151,295
prostate cancer,408,45
ovarian cancer,16,75
399068003.0,403,43
86044005.0,950,135
49049000.0,99,55
40930008.0,2,7
428281000.0,2,2
hiv/aids,639,738
lupus,112,59
73211009.0,241,391
74732009.0,21,33
22298006.0,135,63
multiple sclerosis,50,433
24700007.0,50,433
essential hypertension,105,142
10743008.0,104,213
56265001.0,146,127
53741008.0,10,10
type 2 diabetes,41,45
80690008.0,4,10
26929004.0,148,93
200936003.0,17,11
gastric cancer,30,7
6142004.0,175,97
bacterial pneumonia,71,74
233604007.0,71,74
3723001.0,19,36
63102001.0,11,8
396275006.0,52,20
237602007.0,14,10
13791008.0,8,6
195967001.0,60,41
13746004.0,6,18
162076009.0,3,2
70076002.0,1,1
hepatitis b,6,17
44054006.0,14,19
3545003.0,2,3
32398004.0,33,11
44695005.0,17,7
49601007.0,29,29
88092000.0,0,2
rheumatoid arthritis,4,12
87486003.0,8,7
202882003.0,1,0
61462000.0,63,56
56925008.0,2,0
193000002.0,2,6
64226004.0,0,7
37340000.0,5,19
235856003.0,8,9
42399005.0,20,9
36971009.0,1,0
56317004.0,1,0
ulcerative colitis,0,6
64766004.0,0,6
193462001.0,10,14
69322001.0,1,1
55300003.0,0,2
278040002.0,0,3
14304000.0,2,4
386807006.0,8,6
40095003.0,1,0
370143000.0,5,6
386806002.0,3,2
60862001.0,1,0
271596009.0,0,1
crohn’s disease,0,1
15188001.0,4,2
69896004.0,4,10
129103003.0,3,23
161156004.0,4,2
698247007.0,12,9
multiple myeloma,2,2
386033004.0,2,2
48661000.0,0,2
429040005.0,3,3
428061005.0,7,9
129565002.0,1,2
14669001.0,2,2
75694006.0,3,1
24693007.0,0,1
371405004.0,7,0
46635009.0,0,5
193570009.0,3,1
307496006.0,0,1
sarcoidoses,4,0
397540003.0,0,3
193093009.0,0,1
80967001.0,4,2
68172002.0,10,4
32798002.0,0,1
90708001.0,0,1
443892003.0,1,0
161891005.0,1,1
43116000.0,0,1
34840004.0,0,4
takotsubo cardiomyopathy,0,0
endocarditis,0,0
chagas disease,0,0
3716002.0,0,0
4308002.0,0,0
6471006.0,0,0
7973008.0,0,0
8357008.0,0,0
9126005.0,0,0
9829001.0,0,0
11072008.0,0,0
11381005.0,0,0
11654001.0,0,0
18193002.0,0,0
18718003.0,0,0
22193007.0,0,0
23502006.0,0,0
23919004.0,0,0
25458004.0,0,0
26544005.0,0,0
26889001.0,0,0
29384001.0,0,0
30811009.0,0,0
30989003.0,0,0
31384009.0,0,0
32914008.0,0,0
33308003.0,0,0
35489007.0,0,0
38936003.0,0,0
39400004.0,0,0
39621005.0,0,0
41982003.0,0,0
42345000.0,0,0
43364001.0,0,0
45352006.0,0,0
47004009.0,0,0
52702003.0,0,0
54150009.0,0,0
57182000.0,0,0
57406009.0,0,0
57676002.0,0,0
59927004.0,0,0
60032008.0,0,0
61599003.0,0,0
62315008.0,0,0
66383009.0,0,0
67362008.0,0,0
68449006.0,0,0
68566005.0,0,0
68962001.0,0,0
73442001.0,0,0
76376003.0,0,0
77547008.0,0,0
81308009.0,0,0
81498004.0,0,0
82639001.0,0,0
82991003.0,0,0
83901003.0,0,0
84017003.0,0,0
85828009.0,0,0
95891005.0,0,0
102480002.0,0,0
118940003.0,0,0
128601007.0,0,0
128609009.0,0,0
131148009.0,0,0
134407002.0,0,0
162315007.0,0,0
186748004.0,0,0
191736004.0,0,0
202852009.0,0,0
213257006.0,0,0
214264003.0,0,0
236620008.0,0,0
238539001.0,0,0
239873007.0,0,0
239965002.0,0,0
240131006.0,0,0
247592009.0,0,0
250084002.0,0,0
267045008.0,0,0
267953003.0,0,0
271587009.0,0,0
271767006.0,0,0
271832001.0,0,0
280816001.0,0,0
281794004.0,0,0
302226006.0,0,0
308925008.0,0,0
314983004.0,0,0
315642008.0,0,0
363058009.0,0,0
363406005.0,0,0
367391008.0,0,0
371081002.0,0,0
397803000.0,0,0
397825006.0,0,0
399122003.0,0,0
399269003.0,0,0
402234004.0,0,0
409622000.0,0,0
423849004.0,0,0
425772008.0,0,0
429340002.0,0,0
429360005.0,0,0
440630006.0,0,0
443694000.0,0,0
444312002.0,0,0
448589005.0,0,0
609599003.0,0,0
609600000.0,0,0
