,asian,black/african american,white/caucasian,hispanic/latino,pacific islander,native american/indigenous
covid-19,1583,8002,5935,815,58,176
40733004.0,125,7123,3167,211,10,78
tuberculoses,299,41689,13089,452,21,44
698247007.0,2,256,145,0,4,4
essential hypertension,115,438,447,76,6,9
49601007.0,9,85,87,24,3,3
63102001.0,0,106,32,3,0,0
73211009.0,297,1106,1311,339,23,61
colon cancer,7,238,118,42,1,5
23502006.0,8,20,52,8,0,0
61462000.0,29,499,267,42,11,61
363346000.0,179,5541,3676,329,18,65
371632003.0,7,3813,1529,20,2,6
50829006.0,5,662,154,15,0,0
10743008.0,17,609,300,5,0,0
193570009.0,0,23,20,0,0,0
hiv/aids,65,2185,1094,258,6,20
6142004.0,199,558,317,28,1,10
lupus,13,1587,527,6,1,2
200936003.0,10,798,212,4,0,1
gastric cancer,3,40,23,2,0,2
type 2 diabetes,24,697,267,32,0,2
bacterial pneumonia,11,449,308,9,4,0
233604007.0,11,449,307,9,4,0
86044005.0,4,1517,415,21,13,13
37340000.0,0,141,61,0,0,0
21134002.0,99,482,509,156,21,61
49049000.0,9,250,641,2,0,0
161891005.0,0,0,1,0,0,0
26929004.0,13,249,564,9,0,0
52448006.0,25,248,470,25,4,12
80690008.0,0,40,52,0,0,0
40095003.0,0,41,18,0,0,0
prostate cancer,4,279,159,13,0,0
399068003.0,4,275,146,12,0,0
42399005.0,9,30,41,8,0,2
multiple sclerosis,10,79,269,8,0,4
24700007.0,10,79,269,8,0,4
22298006.0,25,136,125,12,4,3
53741008.0,2,32,56,5,0,0
195967001.0,15,150,113,43,0,3
56265001.0,13,295,170,48,0,2
chagas disease,0,4,1,15,0,0
44054006.0,29,121,140,25,4,6
rheumatoid arthritis,4,49,19,10,0,0
3723001.0,10,100,45,21,0,4
69896004.0,3,48,18,7,0,0
ovarian cancer,2,47,25,5,0,2
56317004.0,2,19,4,0,0,0
302226006.0,0,4,1,0,0,0
386033004.0,0,23,13,1,0,0
ulcerative colitis,0,3,10,1,0,3
64226004.0,0,5,14,2,0,3
64766004.0,0,3,10,1,0,3
237602007.0,1,4,11,4,0,0
32398004.0,3,22,13,9,0,0
multiple myeloma,0,7,22,0,0,0
271596009.0,0,2,1,0,0,0
hepatitis b,3,71,23,2,1,2
193462001.0,4,27,12,0,0,0
370143000.0,4,11,17,7,0,0
13791008.0,0,36,23,4,0,0
46635009.0,12,30,21,25,0,0
13746004.0,1,22,15,0,0,1
74732009.0,4,62,45,9,2,2
40930008.0,10,19,30,1,0,0
44695005.0,1,26,16,0,0,2
70076002.0,0,1,2,0,0,0
syphilis,1,39,8,2,0,0
15188001.0,0,19,5,0,0,0
386806002.0,5,12,12,5,0,3
87486003.0,0,6,28,4,0,0
386807006.0,0,23,8,0,0,0
24693007.0,2,14,5,1,0,0
56925008.0,0,0,2,0,0,0
81308009.0,0,0,1,1,0,0
396275006.0,50,33,59,0,0,0
235856003.0,5,20,15,10,3,4
33308003.0,0,1,0,0,0,0
278040002.0,0,28,3,0,0,0
43116000.0,0,2,17,1,0,0
267045008.0,0,1,0,0,0,0
428061005.0,0,10,11,0,0,0
48661000.0,0,2,2,0,0,1
429040005.0,1,9,13,1,0,0
14304000.0,0,2,1,0,0,0
131148009.0,0,1,1,0,0,0
57182000.0,0,9,0,0,0,0
88092000.0,0,1,7,0,0,0
193000002.0,0,6,9,0,0,0
371405004.0,0,0,1,0,0,0
75694006.0,0,4,3,0,0,0
60862001.0,0,3,17,0,0,0
3545003.0,0,0,1,0,0,0
14669001.0,0,1,3,0,0,0
161156004.0,0,12,3,0,0,0
129103003.0,0,18,16,0,0,0
397540003.0,0,4,3,0,0,0
69322001.0,0,24,10,3,0,0
162076009.0,0,1,3,0,0,0
280816001.0,0,0,2,0,0,0
443892003.0,0,2,0,0,0,0
52702003.0,0,1,0,0,0,0
sarcoidoses,0,24,29,3,0,0
90708001.0,0,0,1,0,0,0
54150009.0,0,2,0,0,0,0
399269003.0,0,2,0,1,0,0
59927004.0,2,2,4,0,0,0
193093009.0,1,0,0,0,0,0
80967001.0,0,4,0,0,0,0
crohn’s disease,0,0,4,0,0,0
129565002.0,0,0,1,0,0,0
32914008.0,0,3,1,0,0,0
42345000.0,0,0,2,0,0,0
3716002.0,0,2,0,0,0,0
128609009.0,0,0,4,0,0,0
takotsubo cardiomyopathy,0,2,0,0,0,0
endocarditis,0,0,0,0,0,0
4308002.0,0,0,0,0,0,0
6471006.0,0,0,0,0,0,0
7973008.0,0,0,0,0,0,0
8357008.0,0,0,0,0,0,0
9126005.0,0,0,0,0,0,0
9829001.0,0,0,0,0,0,0
11072008.0,0,0,0,0,0,0
11381005.0,0,0,0,0,0,0
11654001.0,0,0,0,0,0,0
18193002.0,0,0,0,0,0,0
18718003.0,0,0,0,0,0,0
22193007.0,0,0,0,0,0,0
23919004.0,0,0,0,0,0,0
25458004.0,0,0,0,0,0,0
26544005.0,0,0,0,0,0,0
26889001.0,0,0,0,0,0,0
29384001.0,0,0,0,0,0,0
30811009.0,0,0,0,0,0,0
30989003.0,0,0,0,0,0,0
31384009.0,0,0,0,0,0,0
32798002.0,0,0,0,0,0,0
34840004.0,0,0,0,0,0,0
35489007.0,0,0,0,0,0,0
36971009.0,0,0,0,0,0,0
38936003.0,0,0,0,0,0,0
39400004.0,0,0,0,0,0,0
39621005.0,0,0,0,0,0,0
41982003.0,0,0,0,0,0,0
43364001.0,0,0,0,0,0,0
45352006.0,0,0,0,0,0,0
47004009.0,0,0,0,0,0,0
55300003.0,0,0,0,0,0,0
57406009.0,0,0,0,0,0,0
57676002.0,0,0,0,0,0,0
60032008.0,0,0,0,0,0,0
