,0
ah amyloidosis,0
ahl amyloidosis,0
aids-related anal canal carcinoma,0
aids-related anal carcinoma,0
aids-related anal non-hodgkin lymphoma,0
aids-related burkitt lymphoma,0
aids-related burkitt lymphoma with plasmacytoid differentiation,0
aids-related carcinoma,0
aids-related cervical carcinoma,0
aids-related cervical kaposi sarcoma,0
aids-related diffuse large b-cell lymphoma arising in hhv8-positive multicentric castleman disease,0
aids-related diffuse large b-cell lymphoma,0
aids-related diffuse large cell lymphoma,0
aids-related diffuse mixed cell lymphoma,0
aids-related diffuse small cleaved cell lymphoma,0
aids-related gastric kaposi sarcoma,0
aids-related hodgkin lymphoma,0
aids-related immunoblastic lymphoma,0
aids-related kaposi sarcoma,0
aids-related lymphoblastic lymphoma,0
aids-related lymphoma,0
aids-related lymphoma by working formulation,0
aids-related malignant anal neoplasm,0
aids-related malignant cervical neoplasm,0
aids-related malignant neoplasm,0
aids-related non-hodgkin lymphoma,0
aids-related non-hodgkin lymphoma of the cervix,0
aids-related plasmablastic lymphoma,0
aids-related plasmablastic lymphoma of mucosa site,0
aids-related plasmablastic lymphoma of the oral mucosa,0
aids-related primary central nervous system lymphoma,0
aids-related primary diffuse large b-cell lymphoma of the central nervous system,17398
aids-related primary effusion lymphoma,0
al amyloidosis,0
asph-positive head and neck squamous cell carcinoma,0
abdominal (mesenteric) fibromatosis,0
abdominal inflammatory myofibroblastic tumor,0
abdominal rhabdomyosarcoma,0
abdominal undifferentiated pleomorphic sarcoma,0
abducens nerve neoplasm,0
acantholytic acanthoma,0
acanthoma,0
acanthomatous ameloblastoma,0
"accelerated phase chronic myelogenous leukemia, bcr-abl1 positive",0
accelerated phase myeloproliferative neoplasm,17398
accelerated phase primary myelofibrosis,17398
accessory nerve neoplasm,0
accessory urethral gland carcinoma,0
accessory urethral gland neoplasm,0
acidophil stem cell pituitary neuroendocrine tumor,0
acinar cell adenoma,0
acinar cell carcinoma,0
acinar cell neoplasm,0
acquired cystic disease-associated renal cell carcinoma,0
acquired hemangioma,0
acquired progressive lymphangioma,0
acral fibromyxoma,0
acral lentiginous melanoma,0
acral nevus,0
acute adult t-cell leukemia/lymphoma,0
acute basophilic leukemia,0
acute bilineal leukemia,0
acute biphenotypic leukemia,0
acute eosinophilic leukemia,0
acute erythroid leukemia,0
acute leukemia,0
acute leukemia of ambiguous lineage,0
"acute leukemia of ambiguous lineage, not otherwise specified",0
acute lymphoblastic leukemia,0
acute lymphoblastic leukemia by gene expression profile,0
acute lymphoblastic leukemia by rose cluster,0
acute megakaryoblastic leukemia,0
acute megakaryoblastic leukemia with cbfa2t3-glis2,0
acute megakaryoblastic leukemia with nup98-kdm5a,0
acute monoblastic leukemia,0
acute monoblastic and monocytic leukemia,0
acute monocytic leukemia,0
acute myeloid leukemia,0
acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13.3;q13.1); rbm15-mkl1,0
acute myeloid leukemia arising from previous myelodysplastic syndrome,0
acute myeloid leukemia arising from previous myelodysplastic/myeloproliferative neoplasm,0
acute myeloid leukemia arising from previous myeloproliferative neoplasm,0
acute myeloid leukemia with bcr-abl1,0
acute myeloid leukemia with biallelic mutations of cebpa,0
acute myeloid leukemia with flt3/itd mutation,0
acute myeloid leukemia with gene mutations,0
acute myeloid leukemia with germline cebpa mutation,0
acute myeloid leukemia with mll rearrangement,0
acute myeloid leukemia with maturation,0
acute myeloid leukemia with minimal differentiation,0
acute myeloid leukemia with monoallelic mutations of cebpa,0
acute myeloid leukemia with multilineage dysplasia,0
acute myeloid leukemia with mutated cebpa,0
acute myeloid leukemia with mutated npm1,0
acute myeloid leukemia with mutated runx1,0
acute myeloid leukemia with myelodysplasia-related changes,0
acute myeloid leukemia with ram immunophenotype,0
acute myeloid leukemia with recurrent genetic abnormalities,0
acute myeloid leukemia with trisomy 8,0
acute myeloid leukemia with variant mll translocations,0
acute myeloid leukemia with a variant rara translocation,0
acute myeloid leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); cbfb-myh11,0
acute myeloid leukemia with inv(16)(p13.1q22); cbfb-myh11,0
"acute myeloid leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); gata2, mecom",0
"acute myeloid leukemia with inv(3) (q21.3;q26.2); gata2, mecom",0
acute myeloid leukemia with t(10;11)(p12;q23); mllt10-mll,0
acute myeloid leukemia with t(11;15)(p15;q35); nup98-jarid1a,0
acute myeloid leukemia with t(11;17)(q13;q21),0
acute myeloid leukemia with t(11;17)(q23;q21),0
acute myeloid leukemia with t(16;16)(p13.1;q22); cbfb-myh11,0
acute myeloid leukemia with t(17;17)(q21;q21),0
"acute myeloid leukemia with t(3;3) (q21.3;q26.2); gata2, mecom",0
acute myeloid leukemia with t(5;11)(q35;p15); nup98-nsd1,0
acute myeloid leukemia with t(5;17)(q35;q21),0
acute myeloid leukemia with t(6;11)(q27;q23); mllt4-mll,0
acute myeloid leukemia with t(6;9) (p23;q34.1); dek-nup214,0
acute myeloid leukemia with t(7;12)(q36;p13); hlxb9-etv6,0
acute myeloid leukemia with t(8;21); (q22; q22.1); runx1-runx1t1,0
acute myeloid leukemia with t(9;11)(p21.3;q23.3); mllt3-mll,0
acute myeloid leukemia without maturation,0
acute myelomonocytic leukemia,0
acute myelomonocytic leukemia with abnormal eosinophils,0
acute myelomonocytic leukemia without abnormal eosinophils,0
acute panmyelosis with myelofibrosis,0
acute promyelocytic leukemia with pml-rara,0
acute undifferentiated leukemia,0
adamantinoma,0
adamantinomatous craniopharyngioma,0
adenocarcinofibroma,0
adenocarcinoma,0
adenocarcinoma in situ,0
adenocarcinoma in situ in adenomatous polyp,0
adenocarcinoma in situ in tubular adenoma,0
adenocarcinoma in situ in tubulovillous adenoma,0
adenocarcinoma in situ in villous adenoma,0
adenocarcinoma in situ in a polyp,0
adenocarcinoma in adenomatous polyp,0
adenocarcinoma in adenomatous polyposis coli,0
adenocarcinoma in multiple adenomatous polyps,0
adenocarcinoma in tubular adenoma,0
adenocarcinoma in tubulovillous adenoma,0
adenocarcinoma in villous adenoma,0
adenocarcinoma of skene gland origin,0
adenocarcinoma of unknown primary,0
adenocarcinoma with apocrine metaplasia,0
adenocarcinoma with cartilaginous metaplasia,0
adenocarcinoma with cartilaginous and osseous metaplasia,0
adenocarcinoma with metaplasia,0
adenocarcinoma with neuroendocrine differentiation,0
adenocarcinoma with osseous metaplasia,0
adenocarcinoma with spindle cell metaplasia,0
adenocarcinoma with squamous metaplasia,0
adenoid cystic carcinoma,0
adenoid cystic skin carcinoma,0
adenoma,0
adenoma of minor vestibular glands,0
adenoma of the colon with intramucosal adenocarcinoma,0
adenoma of the retinal pigment epithelium,0
adenomatoid odontogenic tumor,0
adenomatoid tumor,0
adenomatous polyp,0
adenomyoma,0
adenosarcoma,0
adenosquamous carcinoma,0
adenosquamous carcinoma of the penis,0
adnexal carcinoma,0
adnexal cribriform carcinoma,0
adnexal secretory carcinoma,0
adrenal cortical adenoma,0
adrenal cortical adenomatoid tumor,0
adrenal cortical carcinoma,0
adrenal cortical clear cell adenoma,0
adrenal cortical compact cell adenoma,0
adrenal cortical glomerulosa cell adenoma,0
adrenal cortical high grade carcinoma,17398
adrenal cortical low grade carcinoma,0
adrenal cortical melanoma,17398
adrenal cortical mixed cell adenoma,0
adrenal cortical myxoid carcinoma,17398
adrenal cortical neoplasm,0
adrenal cortical oncocytic adenoma,0
adrenal cortical oncocytic carcinoma,17398
adrenal cortical sarcomatoid carcinoma,0
adrenal cortical sex cord-stromal tumor,17398
adrenal gland angiosarcoma,0
adrenal gland composite pheochromocytoma,0
adrenal gland ganglioneuroblastoma,0
"adrenal gland ganglioneuroblastoma, intermixed",0
"adrenal gland ganglioneuroblastoma, nodular",0
adrenal gland ganglioneuroma,0
adrenal gland hemangioma,17398
adrenal gland leiomyoma,17398
adrenal gland leiomyosarcoma,17398
adrenal gland lipoma,17398
adrenal gland lymphangioma,17398
adrenal gland lymphoma,0
adrenal gland neoplasm,0
adrenal gland neuroblastoma,0
adrenal gland pheochromocytoma,0
adrenal gland sarcoma,0
adrenal gland schwannoma,0
adrenal medulla neoplasm,0
adrenal rest tumor,0
adult acute basophilic leukemia,0
adult acute eosinophilic leukemia,0
adult acute erythroid leukemia,0
adult acute lymphoblastic leukemia,0
adult acute megakaryoblastic leukemia,0
adult acute monoblastic leukemia,0
adult acute monoblastic and monocytic leukemia,0
adult acute monocytic leukemia,0
adult acute myeloid leukemia,0
adult acute myeloid leukemia with maturation,0
adult acute myeloid leukemia with minimal differentiation,0
adult acute myeloid leukemia with recurrent genetic abnormalities,0
adult acute myeloid leukemia with inv(16)(p13.1q22); cbfb-myh11,0
adult acute myeloid leukemia with t(16;16)(p13.1;q22); cbfb-myh11,0
adult acute myeloid leukemia with t(8;21); (q22; q22.1); runx1-runx1t1,0
adult acute myeloid leukemia with t(9;11)(p21.3;q23.3); mllt3-mll,0
adult acute myeloid leukemia without maturation,0
adult acute myelomonocytic leukemia,0
adult acute promyelocytic leukemia with pml-rara,0
adult alveolar soft part sarcoma,0
adult anaplastic (malignant) meningioma,0
adult anaplastic astrocytoma,0
adult anaplastic ependymoma,0
adult anaplastic large cell lymphoma,0
adult anaplastic oligodendroglioma,0
adult angiosarcoma,0
adult astrocytic tumor,0
adult atypical meningioma,0
adult b acute lymphoblastic leukemia,0
adult b acute lymphoblastic leukemia with t(9;22)(q34.1;q11.2); bcr-abl1,0
adult b lymphoblastic lymphoma,0
adult botryoid-type embryonal rhabdomyosarcoma,0
adult brain ependymoma,0
adult brain glioblastoma,0
adult brain neoplasm,0
adult brain oligodendroglioma,0
adult brain stem astrocytoma,0
adult brain stem glioma,0
adult brain stem gliosarcoma,0
adult brain stem mixed glioma,0
adult brain stem neoplasm,0
adult burkitt leukemia,0
adult cardiac cellular rhabdomyoma,0
adult central nervous system choriocarcinoma,0
adult central nervous system embryonal carcinoma,0
"adult central nervous system embryonal tumor, not otherwise specified",0
adult central nervous system germ cell tumor,0
adult central nervous system germinoma,0
adult central nervous system immature teratoma,0
adult central nervous system mature teratoma,0
adult central nervous system mixed germ cell tumor,0
adult central nervous system neoplasm,0
"adult central nervous system solitary fibrous tumor, grade 3",0
adult central nervous system teratoma,0
adult cerebellar neoplasm,0
adult choroid plexus neoplasm,0
adult classic hodgkin lymphoma,0
adult clear cell sarcoma of soft tissue,0
adult combined hepatocellular carcinoma and cholangiocarcinoma,0
adult craniopharyngioma,0
adult cystic nephroma,0
adult cystic teratoma,0
adult desmoplastic small round cell tumor,0
adult diffuse astrocytoma,0
adult diffuse large cell lymphoma,0
adult diffuse mixed cell lymphoma,0
adult diffuse small cleaved cell lymphoma,0
"adult embryonal tumor with multilayered rosettes, c19mc-altered",0
adult ependymal tumor,0
adult ependymoma,0
adult epithelioid hemangioendothelioma,0
adult epithelioid sarcoma,0
adult erythroleukemia,0
adult extracardiac rhabdomyoma,0
adult extraskeletal myxoid chondrosarcoma,0
adult extraskeletal osteosarcoma,0
adult favorable prognosis hodgkin lymphoma,0
adult fibrolamellar carcinoma,0
adult fibrosarcoma,0
adult ganglioglioma,0
adult germ cell tumor,0
adult giant cell glioblastoma,0
adult glioblastoma,0
adult gliosarcoma,0
adult grade 1 meningioma,0
adult grade 2 meningioma,0
adult grade 3 meningioma,0
adult grade iii lymphomatoid granulomatosis,0
adult hepatocellular carcinoma,0
adult hodgkin lymphoma,0
adult infiltrating astrocytic tumor,0
adult intracranial germ cell tumor,0
adult intracranial meningioma,0
adult intracranial neoplasm,0
adult kidney wilms tumor,0
adult l1 acute lymphoblastic leukemia,0
adult l2 acute lymphoblastic leukemia,0
adult langerhans cell histiocytosis,0
adult leiomyosarcoma,0
adult liposarcoma,0
adult liver carcinoma,0
adult lymphoblastic lymphoma,0
adult lymphocyte-depleted classic hodgkin lymphoma,0
adult lymphocyte-rich classic hodgkin lymphoma,0
adult lymphoma,0
adult malignant brain neoplasm,0
adult malignant mesenchymoma,0
adult malignant peripheral nerve sheath tumor,0
adult medulloblastoma,0
adult meningeal melanoma,0
adult meningioma,0
adult mesenchymal chondrosarcoma,0
adult mixed cellularity classic hodgkin lymphoma,0
adult mixed glioma,0
adult myelodysplastic syndrome,0
adult myofibroma,0
adult myxopapillary ependymoma,0
adult nasal type extranodal nk/t-cell lymphoma,0
adult nodular lymphocyte predominant hodgkin lymphoma,0
adult nodular sclerosis classic hodgkin lymphoma,0
adult non-hodgkin lymphoma,0
adult non-hodgkin lymphoma by ann arbor stage,0
adult non-t non-b acute lymphoblastic leukemia,0
adult oligodendroglial tumor,0
adult oligodendroglioma,0
adult papillary meningioma,0
adult penile carcinoma,0
adult pilocytic astrocytoma,0
adult pineal gland astrocytoma,0
adult pineal parenchymal cell neoplasm,0
adult pineoblastoma,0
adult pineocytoma,0
adult pleomorphic hepatocellular carcinoma,0
adult pleomorphic rhabdomyosarcoma,0
adult pre-b acute lymphoblastic leukemia,0
adult primary cutaneous anaplastic large cell lymphoma,0
adult primary meningeal melanocytic neoplasm,0
adult pure erythroid leukemia,0
adult rhabdomyosarcoma,0
adult salivary gland carcinoma,0
adult soft tissue sarcoma,0
adult solid neoplasm,0
adult spinal cord ependymoma,0
adult spinal cord glioblastoma,0
adult spinal cord neoplasm,0
adult subependymal giant cell astrocytoma,0
adult subependymoma,0
"adult supratentorial embryonal tumor, not otherwise specified",0
adult synovial sarcoma,0
adult systemic anaplastic large cell lymphoma,0
adult t acute lymphoblastic leukemia,0
adult t lymphoblastic lymphoma,0
adult t-cell leukemia/lymphoma,0
adult t-cell leukemia/lymphoma by ann arbor stage,0
