,black/african american,white/caucasian,hispanic/latino,asian,native american/indigenous,pacific islander
covid-19,1,0,0,0,0,0
hiv/aids,0,0,0,0,0,0
takotsubo cardiomyopathy,0,0,0,0,0,0
colon cancer,0,0,0,0,0,0
tuberculoses,0,0,0,0,0,0
endocarditis,0,0,0,0,0,0
syphilis,0,0,0,0,0,0
diabetes all,0,0,0,0,0,0
multiple myeloma,0,0,0,0,0,0
essential hypertension,0,0,0,0,0,0
sarcoidoses,0,0,0,0,0,0
hepatitis b,0,0,0,0,0,0
ulcerative colitis,0,0,0,0,0,0
crohn’s disease,0,0,0,0,0,0
gastric cancer,0,0,0,0,0,0
chagas disease,0,0,0,0,0,0
ovarian cancer,0,0,0,0,0,0
3545003.0,0,0,0,0,0,0
3716002.0,0,0,0,0,0,0
3723001.0,0,0,0,0,0,0
4308002.0,0,0,0,0,0,0
6142004.0,0,0,0,0,0,0
6471006.0,0,0,0,0,0,0
7973008.0,0,0,0,0,0,0
8357008.0,0,0,0,0,0,0
9126005.0,0,0,0,0,0,0
9829001.0,0,0,0,0,0,0
10743008.0,0,0,0,0,0,0
11072008.0,0,0,0,0,0,0
11381005.0,0,0,0,0,0,0
11654001.0,0,0,0,0,0,0
13746004.0,0,0,0,0,0,0
13791008.0,0,0,0,0,0,0
14304000.0,0,0,0,0,0,0
14669001.0,0,0,0,0,0,0
15188001.0,0,0,0,0,0,0
18193002.0,0,0,0,0,0,0
18718003.0,0,0,0,0,0,0
21134002.0,0,0,0,0,0,0
22193007.0,0,0,0,0,0,0
22298006.0,0,0,0,0,0,0
23502006.0,0,0,0,0,0,0
23919004.0,0,0,0,0,0,0
24693007.0,0,0,0,0,0,0
24700007.0,0,0,0,0,0,0
25458004.0,0,0,0,0,0,0
26544005.0,0,0,0,0,0,0
26889001.0,0,0,0,0,0,0
26929004.0,0,0,0,0,0,0
29384001.0,0,0,0,0,0,0
30811009.0,0,0,0,0,0,0
30989003.0,0,0,0,0,0,0
31384009.0,0,0,0,0,0,0
32398004.0,0,0,0,0,0,0
32798002.0,0,0,0,0,0,0
32914008.0,0,0,0,0,0,0
33308003.0,0,0,0,0,0,0
34840004.0,0,0,0,0,0,0
35489007.0,0,0,0,0,0,0
36971009.0,0,0,0,0,0,0
37340000.0,0,0,0,0,0,0
38936003.0,0,0,0,0,0,0
39400004.0,0,0,0,0,0,0
39621005.0,0,0,0,0,0,0
40095003.0,0,0,0,0,0,0
40733004.0,0,0,0,0,0,0
40930008.0,0,0,0,0,0,0
41982003.0,0,0,0,0,0,0
42345000.0,0,0,0,0,0,0
42399005.0,0,0,0,0,0,0
43116000.0,0,0,0,0,0,0
43364001.0,0,0,0,0,0,0
44054006.0,0,0,0,0,0,0
44695005.0,0,0,0,0,0,0
45352006.0,0,0,0,0,0,0
46635009.0,0,0,0,0,0,0
47004009.0,0,0,0,0,0,0
48661000.0,0,0,0,0,0,0
49049000.0,0,0,0,0,0,0
49601007.0,0,0,0,0,0,0
50829006.0,0,0,0,0,0,0
52448006.0,0,0,0,0,0,0
52702003.0,0,0,0,0,0,0
53741008.0,0,0,0,0,0,0
54150009.0,0,0,0,0,0,0
55300003.0,0,0,0,0,0,0
